Image,corner_0_x,corner_0_y,corner_1_x,corner_1_y,corner_2_x,corner_2_y,corner_3_x,corner_3_y,area,angle_from_180
{1},95.78718566911961,366.0873107907358,51.65823745699556,180.12846374494407,239.0670318601764,138.06834411648728,281.9917907717631,321.9156799318114,36417.83467217685,76.65036279953256
{2},150.02780151364396,376.62536621100287,88.58635711675937,224.11195373537714,241.73661804201686,163.344528198185,302.47662353509213,315.17410278317595,26984.948592095407,68.05750146057608
{3},192.8291778564473,379.08224487303954,119.73765563963958,252.09152221679452,246.88401794433483,179.15107727051182,319.7750244140722,306.030609130862,21454.68671041817,60.07673935751245
{4},221.94294738768954,376.9967651367557,141.98963928226638,267.5488281250062,251.31208801270125,187.46159362789123,331.43835449214805,297.0036315917907,18386.12849726851,53.8513288421521
{5},248.95816040039247,371.7791442870597,163.30313110346577,279.1675720214824,255.6784820556622,193.3629760742706,341.54315185551906,286.1011047363301,15923.748547400239,47.234733886608524
{6},267.33227539062227,365.9848632811963,178.36807250971066,285.61975097656534,258.54736328125296,196.46876525884457,347.77975463872644,277.0563049316379,14396.618217385861,42.092832324451535
{7},284.37594604491755,358.8780517577834,192.78471374508865,290.3973693847697,260.97351074219193,198.8145446777643,352.7193298340131,267.2305603027303,13070.92765270135,36.784629702336076
{8},297.59732055663426,351.7541198730193,204.44854736325334,293.5209350586002,262.5265197753968,200.32328796389402,355.86703491213717,258.6763305663998,12075.727859197985,32.01210665542487
{9},308.1209411621125,345.14672851563523,214.0845642089956,295.4742126464809,263.62240600585585,201.4621124267465,357.7652893066308,251.1256866455109,11309.077134204592,27.844205872081716
{10},315.35394287110785,339.90228271488184,221.0699310303132,296.68167114256335,264.1845703124855,202.2530364989845,358.7669982909754,245.62071228028836,10783.327370897037,24.62713337052685
{11},322.3396911621102,334.45104980468966,227.98695373535247,297.6011962890621,264.71325683593653,203.1470031738259,359.31564331054534,240.0551300048835,10280.081494703096,21.333337398951926
{12},328.1642456054691,329.5551757812507,233.78892517089932,298.08947753906205,265.21423339843705,203.90107727050685,359.77593994140506,235.4202270507818,9887.90742414521,18.438914519384127
{13},332.1676635742198,326.06976318359574,238.18417358398648,298.6182250976551,265.5903320312483,204.56599426269224,359.66439819335716,232.087356567384,9594.876415689061,16.282499874948257
{14},336.0824584960938,322.26922607421886,242.78587341308614,298.95748901367176,265.8352050781253,205.19877624511759,359.7758483886713,228.70388793945352,9315.595757036252,14.029070718209368
{15},339.7838745117231,318.96664428711614,246.5803222656317,298.9708251953082,266.49377441405824,205.8561248779231,359.76812744139886,225.71203613281727,9085.937708820631,12.108644482740146
{16},342.3821105957093,316.4312133789153,249.5550079345796,299.0501098632748,266.88580322265,206.23229980467835,359.73324584959994,223.62095642090495,8918.072335466932,10.605357140222395
{17},344.9167785644543,313.8428039550798,252.62431335449386,298.98336791992057,267.35867309570233,206.6467590332021,359.8088684082017,221.4037475585948,8753.344378339083,9.146345078483591
{18},347.1637878417954,311.4662780761699,255.25906372070054,298.8917541503925,267.8688354492204,206.90467834472875,359.86947631836193,219.55931091308406,8614.44719973331,7.7909079913520145
{19},348.8837280273408,309.74938964843375,257.28482055663665,298.6952209472687,268.29052734375335,207.10104370117622,359.9118652343786,218.07362365722378,8516.02447772675,6.8811861075618594
{20},350.62612915038426,307.8757629394453,259.37643432616363,298.4775085449286,268.80630493164693,207.20753479004682,360.000488281259,216.69633483885994,8410.483238950728,5.880439191125674
{21},352.13827514649586,306.20898437501376,261.23257446290296,298.2288208007709,269.2737731933488,207.34347534178426,360.1416015624877,215.35142517090867,8323.142712112174,5.01685357485843
